quest_id,name,category,level_min,level_max,race_requirements,class_requirements,repeatability,l2solo_runtime_status,bridge_compatibility,bot_resolution_mode,implementation_priority,confidence,implementation_cohort
329,Curiosity of a Dwarf,NORMAL,33,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,MEDIUM,HIGH,C
330,Adept of Taste,NORMAL,24,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,MEDIUM,HIGH,C
331,Arrow of Vengeance,NORMAL,32,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,C
333,Hunt of the Black Lion,NORMAL,25,,[],[],REPEATABLE,MISSING,PARTIAL,COLD,MEDIUM,HIGH,C
334,The Wishing Potion,NORMAL,30,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,C
335,Song of the Hunter,NORMAL,35,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,UNKNOWN,MEDIUM,HIGH,C
336,Coin of Magic,NORMAL,40,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,MEDIUM,HIGH,C
337,Audience with the Land Dragon,NORMAL,50,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,E
338,Alligator Hunter,NORMAL,40,,[],[],REPEATABLE,MISSING,PARTIAL,COLD,MEDIUM,HIGH,C
340,Subjugation of Lizardmen,NORMAL,17,,[],[],CONDITIONAL_OR_BRANCHING,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,A
341,Hunting for Wild Beasts,NORMAL,20,,[],[],REPEATABLE,MISSING,PARTIAL,COLD,HIGH,HIGH,A
343,Under the Shadow of the Ivory Tower,NORMAL,40,40,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,C
344,"1000 years, the End of Lamentation",NORMAL,48,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,E
345,Method to Raise the Dead,NORMAL,35,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,C
347,Go Get the Calculator.,NORMAL,12,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,HIGH,HIGH,A
348,An Arrogant Search,NORMAL,60,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,E
350,Enhance Your Weapon,NORMAL,,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,E
351,Black Swan,NORMAL,32,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,MEDIUM,HIGH,C
352,Help Rood Raise A New Pet!,PET,39,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,MEDIUM,HIGH,C
353,Power of Darkness,NORMAL,55,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,MEDIUM,HIGH,E
354,Conquest of Alligator Island,NORMAL,38,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,C
355,Family Honor,NORMAL,36,,[],[],REPEATABLE,MISSING,PARTIAL,COLD,MEDIUM,HIGH,C
356,Dig Up the Sea of Spores!,NORMAL,43,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,MEDIUM,HIGH,E
357,Warehouse Keeper's Ambition,NORMAL,47,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,UNKNOWN,MEDIUM,HIGH,E
358,Illegitimate Child of A Goddess,NORMAL,63,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,F
359,For Sleepless Deadmen,NORMAL,60,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,MEDIUM,HIGH,E
360,Plunder Their Supplies,NORMAL,52,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,MEDIUM,HIGH,E
362,Bard's Mandolin,NORMAL,15,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,HIGH,HIGH,A
363,Sorrowful Sound of Flute,NORMAL,15,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,HIGH,HIGH,A
364,Jovial Accordion,NORMAL,15,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,HIGH,HIGH,A
365,Devil's Legacy,NORMAL,39,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,UNKNOWN,MEDIUM,HIGH,C
366,Silver Haired Shaman,NORMAL,48,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,E
367,Electrifying Recharge!,NORMAL,37,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,MEDIUM,HIGH,C
368,Trespassing into the Sacred Area,NORMAL,36,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,UNKNOWN,MEDIUM,HIGH,C
369,Collector of Jewels,NORMAL,25,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,C
370,A Wiseman Sows Seeds,NORMAL,28,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,UNKNOWN,MEDIUM,HIGH,C
371,Shriek of Ghosts,NORMAL,59,,[],[],REPEATABLE,MISSING,PARTIAL,COLD,MEDIUM,HIGH,E
372,Legacy of Insolence,NORMAL,59,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,E
373,Supplier of Reagents,NORMAL,57,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,E
374,"Whisper of Dreams, Part 1",NORMAL,56,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,E
375,"Whisper of Dreams, Part 2",NORMAL,60,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,E
376,"Exploration of Giants Cave, Part 1",NORMAL,57,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,E
377,"Exploration of Giants Cave, Part 2",NORMAL,57,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,E
378,Magnificent Feast,NORMAL,20,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,HIGH,HIGH,A
379,Fantasy Wine,NORMAL,20,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,HIGH,HIGH,A
380,Bring Out the Flavor of Ingredients!,NORMAL,24,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,MEDIUM,HIGH,C
381,Let's Become a Royal Member!,NORMAL,55,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,MEDIUM,HIGH,E
382,Kail's Magic Coin,NORMAL,55,,[],[],UNKNOWN,MISSING,PARTIAL,HYBRID,MEDIUM,HIGH,E
383,Searching for Treasure,NORMAL,42,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,MEDIUM,HIGH,E
384,Warehouse Keeper's Pastime,NORMAL,40,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,C
385,Yoke of the Past,NORMAL,20,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,UNKNOWN,HIGH,HIGH,A
386,Stolen Dignity,NORMAL,58,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,E
401,Path to a Warrior,PROFESSION,19,,[],"[""Human Fighter""]",REPEATABLE,PARTIAL,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,B
402,Path to a Human Knight,PROFESSION,19,,[],"[""Human Fighter""]",REPEATABLE,PARTIAL,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,B
403,Path to a Rogue,PROFESSION,19,,[],"[""Human Fighter""]",REPEATABLE,PARTIAL,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,B
404,Path to a Human Wizard,PROFESSION,19,,[],"[""Human Mystic""]",REPEATABLE,PARTIAL,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,B
405,Path to a Cleric,PROFESSION,19,,[],"[""Human Mystic""]",REPEATABLE,PARTIAL,REQUIRES_EXTENSION,UNKNOWN,HIGH,HIGH,B
406,Path to an Elven Knight,PROFESSION,19,,[],"[""Elven Fighter""]",REPEATABLE,PARTIAL,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,B
407,Path to an Elven Scout,PROFESSION,19,,[],"[""Elven Fighter""]",REPEATABLE,PARTIAL,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,B
408,Path to an Elven Wizard,PROFESSION,19,,[],"[""Elven Mystic""]",REPEATABLE,PARTIAL,REQUIRES_EXTENSION,UNKNOWN,HIGH,HIGH,B
409,Path to an Elven Oracle,PROFESSION,19,,[],"[""Elven Mystic""]",REPEATABLE,PARTIAL,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,B
410,Path to a Palus Knight,PROFESSION,19,,[],"[""Dark Fighter""]",REPEATABLE,PARTIAL,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,B
411,Path to an Assassin,PROFESSION,19,,[],"[""Dark Fighter""]",REPEATABLE,PARTIAL,REQUIRES_EXTENSION,UNKNOWN,HIGH,HIGH,B
412,Path to a Dark Wizard,PROFESSION,19,,[],"[""Dark Mystic""]",REPEATABLE,PARTIAL,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,B
413,Path to a Shillien Oracle,PROFESSION,19,,[],"[""Dark Mystic""]",REPEATABLE,PARTIAL,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,B
414,Path to an Orc Raider,PROFESSION,19,,[],"[""Orc Fighter""]",REPEATABLE,PARTIAL,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,B
415,Path to a Monk,PROFESSION,19,,[],"[""Orc Fighter""]",REPEATABLE,PARTIAL,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,B
416,Path to an Orc Shaman,PROFESSION,19,,[],"[""Orc Mage""]",REPEATABLE,PARTIAL,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,B
417,Path to become a Scavenger,PROFESSION,19,,[],"[""Dwarven Fighter""]",REPEATABLE,PARTIAL,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,B
418,Path to an Artisan,PROFESSION,19,,[],"[""Dwarven Fighter""]",REPEATABLE,PARTIAL,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,B
419,Get a Pet,PET,15,,[],[],REPEATABLE,VERIFIED,PARTIAL,HYBRID,LOW,HIGH,A
420,Little Wing,PET,35,,[],[],REPEATABLE,VERIFIED,REQUIRES_EXTENSION,HYBRID,LOW,HIGH,C
421,Little Wing's Big Adventure,PET,45,,[],[],REPEATABLE,VERIFIED,REQUIRES_EXTENSION,UNKNOWN,LOW,HIGH,E
422,Repent Your Sins,NORMAL,1,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,HIGH,HIGH,A
426,Quest for Fishing Shot,FISHING,,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,C
431,Wedding March,NORMAL,38,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,UNKNOWN,MEDIUM,HIGH,C
432,Birthday Party Song,NORMAL,31,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,UNKNOWN,MEDIUM,HIGH,C
501,Proof of Clan Alliance,SYSTEM,,,[],[],REPEATABLE,VERIFIED,COMPATIBLE,HYBRID,LOW,HIGH,H
503,Pursuit of Clan Ambition!,SYSTEM,,,[],[],CONDITIONAL_OR_BRANCHING,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,H
504,Competition for the Bandit Stronghold,PET,,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,A
505,Blood Offering,SYSTEM,,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,HIGH,HIGH,H
601,Watching Eyes,ENDGAME,71,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,G
602,Shadow of Light,NORMAL,68,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,F
603,Daimon the White-Eyed - Part 1,ENDGAME,73,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,UNKNOWN,MEDIUM,HIGH,G
604,Daimon the White-Eyed - Part 2,ENDGAME,73,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,UNKNOWN,MEDIUM,HIGH,G
605,Alliance with Ketra Orcs,SYSTEM,,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,H
606,War with Varka Silenos,NORMAL,,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,E
607,Prove your courage!,NORMAL,,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,MEDIUM,HIGH,E
608,Slay the enemy commander!,NORMAL,,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,MEDIUM,HIGH,E
609,Magical Power of Water - Part 1,NORMAL,,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,UNKNOWN,MEDIUM,HIGH,E
610,Magical Power of Water - Part 2,NORMAL,,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,UNKNOWN,MEDIUM,HIGH,E
611,Alliance with Varka Silenos,SYSTEM,,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,H
612,War with Ketra Orcs,NORMAL,,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,E
613,Prove your courage!,NORMAL,,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,MEDIUM,HIGH,E
614,Slay the enemy commander!,NORMAL,,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,MEDIUM,HIGH,E
615,Magical Power of Fire - Part 1,NORMAL,,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,UNKNOWN,MEDIUM,HIGH,E
616,Magical Power of Fire - Part 2,NORMAL,,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,UNKNOWN,MEDIUM,HIGH,E
617,Gather the Flames,ENDGAME,74,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,UNKNOWN,MEDIUM,HIGH,G
618,Into the Flame,NORMAL,60,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,E
619,Relics of the Old Empire,ENDGAME,74,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,UNKNOWN,MEDIUM,HIGH,G
620,Four Goblets,ENDGAME,74,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,G
621,Egg Delivery,NORMAL,68,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,MEDIUM,HIGH,F
622,Delivery of Special Liquor,NORMAL,68,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,MEDIUM,HIGH,F
623,The Finest Food,ENDGAME,71,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,G
624,The Finest Ingredients - Part 1,ENDGAME,73,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,UNKNOWN,MEDIUM,HIGH,G
625,The Finest Ingredients - Part 2,ENDGAME,73,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,G
626,A Dark Twilight,NORMAL,60,,[],[],ONE_TIME,MISSING,PARTIAL,HYBRID,MEDIUM,HIGH,E
627,Heart in Search of Power,NORMAL,60,,[],[],REPEATABLE,MISSING,PARTIAL,HYBRID,MEDIUM,HIGH,E
628,Hunt of the Golden Ram Mercenary Force,NORMAL,66,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,F
629,Clean up the Swamp of Screams,NORMAL,66,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,UNKNOWN,MEDIUM,HIGH,F
631,Delicious Top Choice Meat,NORMAL,65,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,F
632,Necromancer's Request,NORMAL,63,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,F
633,In the Forgotten Village,NORMAL,65,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,F
634,In Search of Fragments of the Dimension,NORMAL,20,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,A
635,In the Dimension Rift,NORMAL,20,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,UNKNOWN,HIGH,HIGH,A
999,Tutorial (technical-only Q999),TUTORIAL,10,,[],[],UNKNOWN,MISSING,REQUIRES_EXTENSION,UNKNOWN,HIGH,LOW,A
